County,FIPS,RF,IR,Year,IrrAmt_Mean,IrrAmt_Median,Precip_Mean,Precip_Median
Butler,1013,1998,13453,2011,227.89,229,325.67,323.7
Butler,1013,9966,13694,2012,154.78,160,436.94,441.6
Butler,1013,10426,11159,2013,93.59,85,605.87,612.1
Butler,1013,8276,13830,2014,135.79,143,788.36,794.1
Butler,1013,12268,13586,2015,89.45,82,546.32,538
Butler,1013,8279,13400,2016,149.15,150,508.82,499.6
Butler,1013,11487,11569,2017,58.96,60,540.77,528.1
Butler,1013,11677,12518,2018,81.06,81,585.81,575.6
Butler,1013,5548,12190,2019,152.79,150,445.07,430.3
Butler,1013,11814,12796,2020,105.55,102,501.87,509
Calhoun,1015,4365,13658,2010,196.03,197,429,433.7
Calhoun,1015,6118,12734,2011,196.73,183,467.21,464.2
Calhoun,1015,4859,13267,2012,201.32,189,351.2,348.2
Calhoun,1015,11326,12060,2013,127.1,117,839.36,833.4
Calhoun,1015,7036,13795,2014,165.63,177,569.28,571.1
Calhoun,1015,6141,13203,2015,191.99,182,545.84,556.6
Calhoun,1015,3965,13008,2016,217.04,211,329.03,325.5
Calhoun,1015,11979,12312,2017,96.2,94,530.71,530.4
Calhoun,1015,11235,12833,2018,113.99,101,497.29,498
Calhoun,1015,7617,12819,2019,174.44,172,434.62,438.5
Calhoun,1015,6335,11649,2020,133.54,120,592.48,596.4
Chambers,1017,5060,13639,2010,176.62,187,308.36,307.7
Chambers,1017,3665,13021,2011,223.46,232,281.26,284.2
Chambers,1017,4643,12251,2012,184.54,188,294.94,282.3
Chambers,1017,10658,11196,2013,81.94,86,631.31,627.6
Chambers,1017,8354,13319,2014,121.35,127,498.12,508
Chambers,1017,11058,12704,2015,104.89,118,482.78,478.5
Chambers,1017,3219,12602,2016,212.54,215,379.16,376.1
Chambers,1017,12398,12632,2017,60.25,61,527.85,533.9
Chambers,1017,12541,12606,2018,67.07,64,498.18,497.3
Chambers,1017,11164,13289,2019,126.8,141,529.96,521.5
Chambers,1017,9675,13091,2020,105.79,104,500.46,489.4
Cherokee,1019,6019,14039,2010,169.6,172,398.97,385.7
Cherokee,1019,8515,12976,2011,158.85,160,515.63,515.8
Cherokee,1019,3006,13020,2012,182.07,179,311.48,305.2
Cherokee,1019,11607,12126,2013,80,71,785.67,777.2
Cherokee,1019,13223,14358,2014,101.13,93,541.12,535.6
Cherokee,1019,5695,13297,2015,164.33,166,417.88,412.6
Cherokee,1019,5001,13204,2016,180.6,177,355.22,357.2
Cherokee,1019,12510,12619,2017,49.54,31,546.72,536.1
Cherokee,1019,12281,12948,2018,85.87,83,503.55,492.6
Cherokee,1019,8205,12331,2019,132.09,134,457.32,470.8
Cherokee,1019,8931,11393,2020,111.66,111,550.51,547.4
Chilton,1021,5756,13211,2010,183.56,183.5,317.66,313.6
Chilton,1021,4072.5,12901,2011,225.33,220,353.85,351.6
Chilton,1021,4017,11754.5,2012,217.6,202,330.33,331.4
Chilton,1021,7359.5,11543,2013,124.14,117.5,551.11,548.7
Chilton,1021,8195.5,13960.5,2014,145.36,145,624.01,614.65
Chilton,1021,8601.5,12899,2015,140.58,134,470.1,467.25
Chilton,1021,4955.5,12259.5,2016,186.12,191,450.61,445.55
Chilton,1021,12526.5,12604,2017,84.48,56,541.44,545.6
Chilton,1021,9558.5,12449.5,2018,119.33,126.5,641.98,641.9
Chilton,1021,7130,13127.5,2019,173.01,160,363.96,363.9
Chilton,1021,9320,12195.5,2020,131.05,114,571.35,574.4
Choctaw,1023,6683,12425,2010,149.4,152,388.29,382.9
Choctaw,1023,2950,13416,2011,238.92,235,360.33,353
Choctaw,1023,4849,13969,2012,229.65,227,355.31,350.3
Choctaw,1023,11133,12017,2013,67.74,62,702.49,704.7
Choctaw,1023,9445,13933,2014,121.36,118,728.84,726.7
Choctaw,1023,10154,13537,2015,119.14,118,562.69,551
Choctaw,1023,5199,12851,2016,185.69,188,488.36,502.3
Choctaw,1023,11629,11949,2017,70.95,65,553.3,551.9
Choctaw,1023,7851,12525,2018,108.65,107,577.25,584.2
Choctaw,1023,5590,12731,2019,176.99,178,460.71,461.5
Choctaw,1023,11176,12409,2020,94.59,91,600.07,596.5
Clarke,1025,6237,12398,2010,169.58,168,381.74,375.7
Clarke,1025,1652,13149,2011,252.45,248,326.95,319.9
Clarke,1025,5584,13924,2012,211.35,207,397.53,395.8
Clarke,1025,9050,11784,2013,121.74,122,584.55,583.5
Clarke,1025,8541,13726,2014,147.44,147,686.88,695
Clarke,1025,10988,13527,2015,114.66,107,569.08,584.7
Clarke,1025,6556,13037,2016,160.66,158,513.22,515.8
Clarke,1025,11593,12148,2017,74.24,62,580.83,564.25
Clarke,1025,10554,12404,2018,104.55,99,601.62,595.4
Clarke,1025,5997,12710,2019,168.83,168,407.34,407.6
Clarke,1025,10429,12659,2020,124.64,112,510.84,500.3
Clay,1027,5221,13453,2010,184.66,187,376.46,374.3
Clay,1027,5526,12510,2011,208.03,204,370.37,368
Clay,1027,4063,13444,2012,221.18,216,309.38,303.2
Clay,1027,11814,11952,2013,81.83,70,822.59,816.4
Clay,1027,10295,13942,2014,130.23,132,642.25,648.6
Clay,1027,9910,13241,2015,142.62,142,493.56,484.9
Clay,1027,5617,12752,2016,198,196,365.99,357.4
Clay,1027,12430,13021,2017,65.8,68,572.88,565.8
Clay,1027,12619,12882,2018,80.92,69,560.32,553
Clay,1027,10133,13165,2019,150.08,144,449.94,453
Clay,1027,10675,12281,2020,109.83,111,621.33,621.6
Cleburne,1029,7296,13867,2010,154.27,151,435.91,441
Cleburne,1029,6643,12769,2011,185.42,188,405.95,391.9
Cleburne,1029,4562,13674,2012,178.88,180,365.99,365.4
Cleburne,1029,11711,12318,2013,78.46,75,803.91,801.1
Cleburne,1029,8458,14308,2014,141.55,145,538.06,536.3
Cleburne,1029,7499,13730,2015,152.6,157,530.43,538.3
Cleburne,1029,6113,13446,2016,182.61,177,351.72,346.3
Cleburne,1029,12404,12508,2017,53.22,42,564.79,566.2
Cleburne,1029,12681,13259,2018,81.22,88,495.66,489.1
Cleburne,1029,8000,12989,2019,151.45,150,435.35,435.2
Cleburne,1029,10104,12382,2020,106.45,106,565,567.1
Coffee,1031,6557.5,12543,2010,169.56,166,377.22,374
Coffee,1031,1751,12970,2011,275.03,264,286.6,276.35
Coffee,1031,4683.5,13665,2012,195.09,172,354.75,358.75
Coffee,1031,9135.5,11442.5,2013,118.13,105,580.42,579.5
Coffee,1031,7717,13328,2014,152.49,145.5,705.61,703.55
Coffee,1031,7281.5,12993.5,2015,136.53,125.5,455.86,444.8
Coffee,1031,6701,13377.5,2016,168.99,156,478.56,472.35
Coffee,1031,11104.5,11300,2017,81.13,70.5,572.86,567
Coffee,1031,11250.5,12292.5,2018,91.71,90.5,532.9,526.75
Coffee,1031,2859,12441.5,2019,174.89,173,313.71,310.6
Coffee,1031,8462.5,13010,2020,144.47,142.5,379.57,374.35
Colbert,1033,8218,13568.5,2010,123.8,134.5,460.61,449.6
Colbert,1033,6826,13008,2011,191.48,193.5,610.27,609.45
Colbert,1033,2373.5,12818.5,2012,206.41,203,399.84,395.9
Colbert,1033,8256.5,13871.5,2013,125.84,121.5,623.02,621.3
Colbert,1033,11498.5,15551,2014,143.05,160.5,636.35,642.95
Colbert,1033,9484.5,13059.5,2015,151.16,150,562.07,551.65
Colbert,1033,4302,13541,2016,193.75,191,374.98,377.45
Colbert,1033,9823,13230.5,2017,125.19,120,582.75,583.3
Colbert,1033,10345.5,12143,2018,132.73,134.5,624.7,625.1
Colbert,1033,7647.5,12356.5,2019,134.05,136.5,586.63,583.85
Colbert,1033,11071.5,12710,2020,110.69,114,629.67,631.1
Conecuh,1035,5640.5,12496,2010,109.29,137.5,370.69,368.35
Conecuh,1035,1220,12698,2011,155.29,227.5,315.21,311.95
Conecuh,1035,3726,13521.5,2012,105.43,117,457.94,457.4
Conecuh,1035,5478,11115,2013,89.72,103,485.83,486.35
Conecuh,1035,5647.5,13258,2014,88.63,99,794.9,794.5
Conecuh,1035,5847.5,12490,2015,78,61,537.54,538.4
Conecuh,1035,4204.5,12983.5,2016,100.06,122,518.12,511.4
Conecuh,1035,9840.5,11027.5,2017,50.25,38.5,590.09,585
Conecuh,1035,8479,11914,2018,57.02,59,628.77,632.55
Conecuh,1035,1796,12200.5,2019,100.4,122.5,474.51,470.35
Conecuh,1035,6267,12074,2020,91.43,100.5,446.08,435.05
Coosa,1037,4330.5,13419,2010,212.07,210.5,326.25,326.85
Coosa,1037,4153,12811,2011,228.46,220,341.76,345.75
Coosa,1037,5104.5,11875.5,2012,203.6,200,345.14,344.05
Coosa,1037,7640.5,11532,2013,124.05,112.5,588.7,576
Coosa,1037,9290,13938.5,2014,141.85,134.5,643.78,639
Coosa,1037,9509.5,12908,2015,140.31,128,481.55,475.7
Coosa,1037,3457.5,12483,2016,216.65,210,421.33,419.5
Coosa,1037,12307,12603,2017,80.32,55,592.95,589
Coosa,1037,9697,12525.5,2018,128.11,125,511.45,503.3
Coosa,1037,6301,13184.5,2019,191.54,193,376.88,375
Coosa,1037,10449,12720,2020,111.36,95,642.42,646.1
Covington,1039,7093.5,11664.5,2010,144.82,151.5,357.37,353.35
Covington,1039,1455.5,12308.5,2011,273.11,295,259.36,263.35
Covington,1039,5858,13480,2012,150.47,160,407.11,411.7
Covington,1039,8617,11214,2013,105.12,113,525.14,528.6
Covington,1039,7324,13039.5,2014,129.73,138,673.94,668.2
Covington,1039,7841.5,12223,2015,122.25,135,429.39,426.7
Covington,1039,8134,13081.5,2016,127.24,144,520.76,516.7
Covington,1039,10628.5,11038,2017,67.48,75,592.37,589.7
Covington,1039,10198,11828.5,2018,93.28,103,577.4,564.55
Covington,1039,2880.5,12131.5,2019,149.69,167,378.34,346.1
Covington,1039,10364,12561,2020,124.47,142.5,437.83,423.05
Crenshaw,1041,5747.5,13122,2010,184.89,188,429.54,422.1
Crenshaw,1041,1801.5,13240,2011,271.53,281.5,291.56,290.4
Crenshaw,1041,4616,13725.5,2012,196.49,205.5,395.48,389.95
Crenshaw,1041,8464,11466.5,2013,125.9,129,579.66,572.8
Crenshaw,1041,6307,13695,2014,157.5,165,696.05,691.8
Crenshaw,1041,7788,13415,2015,132.51,147.5,489.35,487.75
Crenshaw,1041,6151,13329.5,2016,154.71,163,488.13,487.9
Crenshaw,1041,10841.5,11337,2017,70.01,73,597.92,597.6
Crenshaw,1041,11243,12495,2018,89.17,92.5,587.43,589.9
Crenshaw,1041,4086,11974,2019,176.93,182.5,455.67,466.5
Crenshaw,1041,8571.5,12728.5,2020,146.17,150,396.86,388.6
Cullman,1043,4307,13416,2010,194.37,208.5,564.39,548.9
Cullman,1043,5091.5,13183.5,2011,198.06,222,619.07,619.75
Cullman,1043,916.5,12760,2012,220.76,241.5,371.07,371.9
Cullman,1043,6587.5,12768,2013,144.37,170,738.46,740.2
Cullman,1043,5177.5,15081,2014,193.1,218.5,563.29,559.25
Cullman,1043,3729,13029.5,2015,200.38,220.5,551.32,551.2
Cullman,1043,3740,13690.5,2016,217.48,235.5,434.1,433.9
Cullman,1043,7947,13060,2017,124.22,147,601.53,602.15
Cullman,1043,7911.5,13353.5,2018,166.3,185,580.99,584.9
Cullman,1043,5320.5,12666.5,2019,171.73,192.5,556.45,554.1
Cullman,1043,6728.5,12893,2020,146.95,169.5,658.36,659.2
Dale,1045,7705,12793,2010,151.08,149,351.53,354.4
Dale,1045,1571,12995,2011,268.56,269,244.93,245
Dale,1045,6321,13542,2012,165.81,163,338.77,333.6
Dale,1045,10370,11443,2013,92.14,87,637.7,642.2
Dale,1045,7710,13398,2014,138,145,684.11,690.9
Dale,1045,9327,12918,2015,106.65,102,470.11,470
Dale,1045,8353,13320,2016,139.13,139,456.43,463.3
Dale,1045,11136,11411,2017,71.02,61,610.46,614.9
Dale,1045,11659,12304,2018,79.54,80,506.29,516.6
Dale,1045,1906,12125,2019,178.32,167,279.64,286.2
Dale,1045,9281,12909,2020,118.43,114,374.2,349.4
Dallas,1047,5409,12713,2010,166.43,166,328.9,330.8
Dallas,1047,1935,13445,2011,243.72,241,300.28,289.9
Dallas,1047,4995,13698,2012,209.19,210,320.87,314.2
Dallas,1047,9433,11779,2013,106.86,107,526.52,531.2
Dallas,1047,7002,13828,2014,159.28,159,575.4,574.3
Dallas,1047,9542,13447,2015,116.05,115,496.86,504.1
Dallas,1047,5465,13134,2016,164.92,165,452.78,440.7
Dallas,1047,11843,12163,2017,65.45,58,614.01,620.2
Dallas,1047,11719,12607,2018,94.47,85,574.35,569.6
Dallas,1047,8093,12631,2019,147.67,134,414.71,403.3
Dallas,1047,10980,12667,2020,106.54,101,507.59,503.9
DeKalb,1049,8095,14087,2010,143.48,130,435.54,433.4
DeKalb,1049,11127,13376,2011,126.52,105,554.18,577.8
DeKalb,1049,6052,13403,2012,156.77,158,365.96,356.5
DeKalb,1049,12204,12540,2013,81.2,44,753.38,753.4
DeKalb,1049,14817,15136,2014,99.82,82,567.68,571.5
DeKalb,1049,8565,13180,2015,146.98,124,440.45,440
DeKalb,1049,5592,13617,2016,171.14,160,322.58,322.2
DeKalb,1049,13208,13469,2017,61.66,22,639.08,626.65
DeKalb,1049,13555,14066,2018,77.25,79,570.98,569.6
DeKalb,1049,7879,13015,2019,142.29,124,467.56,474
DeKalb,1049,11896,13613,2020,92.66,79,623.75,628.7
Elmore,1051,6384,13302.5,2010,188.46,191.5,306.86,305.15
Elmore,1051,2306.5,13333,2011,249.18,246.5,292.96,297.5
Elmore,1051,5213.5,12367.5,2012,211.61,211,323.16,317.8
Elmore,1051,8999,11684.5,2013,115.82,122.5,544.07,543.5
Elmore,1051,8983.5,13804,2014,133.11,135,677.54,684.25
Elmore,1051,10309,13339.5,2015,115.46,112,491.53,489.75
Elmore,1051,4872.5,13172,2016,196,195,486.4,481.1
Elmore,1051,11705,12013,2017,75.68,75,640.43,632.6
Elmore,1051,11369,12636.5,2018,116.44,125,495.5,498.5
Elmore,1051,8653.5,12617,2019,156.69,147,439.92,436.05
Elmore,1051,8849,12802.5,2020,124.14,127,494.92,486.6
Escambia,1053,9203,12387.5,2010,110.11,105,388.32,385.5
Escambia,1053,2129,13026.5,2011,253.86,254,298.02,284.4
Escambia,1053,8340,13863.5,2012,141.49,132,450.01,456.1
Escambia,1053,9060.5,11558.5,2013,109.56,108.5,483.69,482.95
Escambia,1053,13360,13638.5,2014,69.49,66.5,865.15,859.95
Escambia,1053,11209,12639,2015,90.27,88,555.67,540.5
Escambia,1053,10115,13359,2016,96.35,98.5,628.19,622.7
Escambia,1053,11043.5,11043,2017,44.51,39,654,647.15
Escambia,1053,11248.5,12119,2018,74.76,77,566.49,562.8
Escambia,1053,5976.5,12729.5,2019,118.19,127,479.08,488.1
Escambia,1053,11378.5,12464,2020,103.88,99.5,472.18,472.8
Etowah,1055,6409,13716,2010,140.05,148,432.35,432.9
Etowah,1055,8440,13030,2011,142.52,144,532.14,533.9
Etowah,1055,5462,13120,2012,168.89,165,361.67,357.2
Etowah,1055,11629,12403,2013,68.57,66,796.84,784.5
Etowah,1055,11998,14102,2014,108.82,110,577.8,585.1
Etowah,1055,6325,13032,2015,152.85,149,483.23,484.7
Etowah,1055,5036,13464,2016,163.05,164,384.91,388.4
Etowah,1055,12426,12448,2017,47.48,49,660.58,653.5
Etowah,1055,11210,13041,2018,97.54,103,461.45,463.7
Etowah,1055,7815,12695,2019,120.7,128,467.74,466.1
Etowah,1055,9514,11734,2020,104.03,108,570.4,565.8
Fayette,1057,9981,13370,2010,114.97,102,551.6,553.4
Fayette,1057,7614,13087,2011,164.04,148,546.85,551
Fayette,1057,7351,13450,2012,165.7,151,425.63,426.3
Fayette,1057,12324,13142,2013,97.73,64,778.85,785.8
Fayette,1057,11645,14711,2014,116.46,84,565.45,558.5
Fayette,1057,7851,13508,2015,161.65,145,505.33,504.2
Fayette,1057,6914,13239,2016,157.35,140,422.66,423.5
Fayette,1057,12846,12930,2017,49.68,20,671.28,658.95
Fayette,1057,12539,12626,2018,67.11,43,728.87,738.7
Fayette,1057,8932,12798,2019,125.03,104,615.71,615.4
Fayette,1057,10903,12111,2020,98.51,81,656.64,645.7
Franklin,1059,4898.5,13112.5,2010,186.24,196.5,453.33,447.7
Franklin,1059,3471,12049,2011,233.95,253,657.92,665.3
Franklin,1059,1002,12275.5,2012,240.23,254.5,371.02,365.05
Franklin,1059,3713.5,12945.5,2013,183.99,209.5,645.99,649.45
Franklin,1059,6157,14993,2014,188.39,210,646.82,648.85
Franklin,1059,2306.5,12780.5,2015,210.99,237,601.47,594.5
Franklin,1059,4280,12909,2016,217.39,240,414.45,411.3
Franklin,1059,6976.5,12952.5,2017,144.38,163.5,667.36,661.7
Franklin,1059,6292,12483.5,2018,174.04,198,622.86,616.95
Franklin,1059,4699,12091,2019,175.47,198.5,612.43,612.2
Franklin,1059,6770,12265.5,2020,152.04,181,661.5,660.25
Geneva,1061,6101.5,12042,2010,177.72,184.5,316.05,318.6
Geneva,1061,1177,13009.5,2011,295.17,299,244.32,245.1
Geneva,1061,3594.5,13441,2012,178.23,183.5,339.62,342.2
Geneva,1061,8054,11404.5,2013,127.73,127,616.14,621.65
Geneva,1061,7990,13751,2014,152.62,163,726.48,724.6
Geneva,1061,10359,12759.5,2015,109.37,120,516.81,525.5
Geneva,1061,8689.5,13517.5,2016,147.33,145,546.11,540.75
Geneva,1061,10477,11531,2017,95.03,100,663.04,668.55
Geneva,1061,10842,12254,2018,98.7,95.5,520.73,512.05
Geneva,1061,2309.5,12029,2019,185.57,191,287.72,294.1
Geneva,1061,10230,13045,2020,134.1,140.5,484.6,484.05
Greene,1063,5547,12720,2010,140.09,149,362.05,359.9
Greene,1063,1990,13114,2011,243.87,253,303.57,294.8
Greene,1063,4089,13192,2012,213.16,219,331.37,331
Greene,1063,9592,12107,2013,80.15,81,607.63,599.7
Greene,1063,7413,13849,2014,137.21,143,622.91,617.8
Greene,1063,7874,13297,2015,126.67,133,477.11,478.4
Greene,1063,4022,12873,2016,197.85,204,380.14,380.7
Greene,1063,12192,12772,2017,58.29,58,682.85,668.8
Greene,1063,10592,12448,2018,86.61,94,571.38,570.3
Greene,1063,8272,13147,2019,131.79,131,503.68,501
Greene,1063,10524,11826,2020,75.68,78,580.24,581.1
Hale,1065,7493.5,12759.5,2010,154.38,150.5,399,393.65
Hale,1065,2516,13034,2011,239.45,231.5,310.5,323.4
Hale,1065,4331,12861.5,2012,232.1,229,281.75,278.05
Hale,1065,10309,11862,2013,98.01,84.5,568.27,562.3
Hale,1065,7519.5,14037.5,2014,147.44,150.5,630.18,629.05
Hale,1065,8180,13270,2015,142.59,135.5,472.95,474.05
Hale,1065,4708,12601,2016,197.49,193,433.51,433.25
Hale,1065,12045,12606,2017,80.94,70,692.48,689.35
Hale,1065,10677.5,12369.5,2018,106.53,101,564.92,564.15
Hale,1065,8413.5,13155.5,2019,164.84,153.5,463.35,450.45
Hale,1065,9968.5,11959,2020,112.04,105.5,516.84,505.5
Henry,1067,7574,12981,2010,148.58,142,356.46,354.1
Henry,1067,785,13113,2011,303.98,298,189.66,186.5
Henry,1067,5323,13772,2012,195.31,191,260.53,252.4
Henry,1067,9967,11525,2013,102.95,87,576.67,576.2
Henry,1067,5785,13504,2014,178.68,170,620.17,621.5
Henry,1067,8752,12997,2015,109.89,105,457.63,457.2
Henry,1067,5213,13238,2016,175.43,171,404.1,398.8
Henry,1067,11109,11481,2017,77.77,61,693.04,691.4
Henry,1067,11397,12456,2018,90.17,85,522.46,533.3
Henry,1067,1853,12109,2019,181.46,184,263.52,265.7
Henry,1067,7699,12884,2020,142.8,126,334.64,333.3
Houston,1069,5842,11673,2010,178.9,183,315.27,313.6
Houston,1069,1235,12924,2011,304.38,310,227.44,226.4
Houston,1069,4971,13478,2012,165.37,164,283.77,278.9
Houston,1069,7544,11433,2013,125.98,125,561.66,559.1
Houston,1069,7209,12997,2014,155.4,166,678.29,687.3
Houston,1069,9210,12985,2015,117.19,125,465.9,463.7
Houston,1069,7655,13673,2016,139.83,146,559.18,557.4
Houston,1069,10822,11609,2017,102.84,116,698.61,698.9
Houston,1069,11058,12326,2018,93.9,103,526.62,525.5
Houston,1069,1833,11671,2019,198,198,248.82,246.5
Houston,1069,7905,13144,2020,154.98,164,413.71,410.1
Jackson,1071,2597,13111,2010,196.18,213,387.1,388.6
Jackson,1071,4428,12590,2011,198.08,220,530.51,532.4
Jackson,1071,1043,12175,2012,212.31,238,394.08,397.8
Jackson,1071,5799,11992,2013,131.49,159,694.6,687.8
Jackson,1071,6839,14732,2014,164.27,189,548.55,541.3
Jackson,1071,3846,12149,2015,175.37,202,497.36,501.3
Jackson,1071,2126,12853,2016,236.2,247,283.08,285.7
Jackson,1071,7668,13145,2017,137.4,168,703.41,702.2
Jackson,1071,5271,12907,2018,144.47,177,568.78,565
Jackson,1071,4252,12148,2019,192.88,206,460.76,447
Jackson,1071,4464,12767,2020,150.66,174,623.56,620.7
Jefferson,1073,2650,13404.5,2010,212.81,228,440.88,427.55
Jefferson,1073,2568,12818,2011,242.32,249,412.66,406.75
Jefferson,1073,1264,11888,2012,242.54,251.5,338.74,329.9
Jefferson,1073,5805,11922.5,2013,161.1,174.5,701.67,693.2
Jefferson,1073,1470.5,13819.5,2014,212.09,236,572.37,574.2
Jefferson,1073,3746.5,12724.5,2015,203.35,220,514.66,541.55
Jefferson,1073,3698,12398.5,2016,230.51,239,412.59,416
Jefferson,1073,10056,13144.5,2017,132.6,149,700.61,703.2
Jefferson,1073,7636,12681.5,2018,138.26,150,590.42,596.4
Jefferson,1073,5114,12935,2019,199.11,206,431.31,430.3
Jefferson,1073,3246,12265,2020,178.37,192.5,579.67,563.75
Lamar,1075,10905,13476,2010,95.85,110.5,494.56,493.5
Lamar,1075,8155,13080,2011,137.33,139,554.95,560.55
Lamar,1075,8926.5,13598,2012,119.69,115,431.56,435.25
Lamar,1075,12626,13223,2013,69,69.5,654.94,651.1
Lamar,1075,14000.5,14106.5,2014,49.39,45.5,620.48,613.4
Lamar,1075,10234,13027,2015,125.46,134.5,492.81,493.1
Lamar,1075,5966,13047.5,2016,159.07,161.5,365.87,369.55
Lamar,1075,13253.5,13268,2017,9.56,0,702.57,705.1
Lamar,1075,12272,12409,2018,47.85,46,568.89,583.8
Lamar,1075,8218.5,12789.5,2019,115.7,119,604.44,616.6
Lamar,1075,12369,12630,2020,63.61,68,626.7,627.65
Lauderdale,1077,9373,13530,2010,109.42,120,442.45,437.7
Lauderdale,1077,9370,13102,2011,172.37,195,604.03,605.2
Lauderdale,1077,2544,12352,2012,181.91,188,387.33,386.6
Lauderdale,1077,11157,13844,2013,107.86,114,615.7,610.3
Lauderdale,1077,13301,15591,2014,130.16,166,617.23,623.7
Lauderdale,1077,10275,13013,2015,132.28,156,539.03,537.6
Lauderdale,1077,6756,13360,2016,165.42,170,369.28,369.1
Lauderdale,1077,11910,13438,2017,104.25,110,694.59,705.5
Lauderdale,1077,12042,12890,2018,115.23,136,592.29,583.6
Lauderdale,1077,11148,12400,2019,106.44,113,621.84,618.1
Lauderdale,1077,11992,12841,2020,98.27,105,621.55,622.2
Lawrence,1079,9026,13650,2010,141.16,110,460.44,456.8
Lawrence,1079,8849,12893,2011,186.58,166,620.42,619.6
Lawrence,1079,2146,12480,2012,209.24,198,428.19,428.2
Lawrence,1079,10035,13410,2013,120.32,80,741.47,748.8
